id,nombre,imagen,origen
101-anos-de-perdon,101 años de perdón,images/ec-all/101-anos-de-perdon.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F25fe6ce7f22669d1624d2c333d396fa0_400x600.webp?alt=media
102-raiders,102: Raiders,images/ec-all/102-raiders.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fradiers_400x600.webp?alt=media
11s,11S,images/ec-all/11s.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F2282be2a6dd3d265c3fe67e76218145a_400x600.webp?alt=media
1801-escape-room,1801 Escape Room,images/ec-all/1801-escape-room.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F93488ebd6cb6a238ab9a3818fa7345eb_400x600.webp?alt=media
1961-la-llamada,1961 La Llamada,images/ec-all/1961-la-llamada.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F1961_400x600.webp?alt=media
2076,2076,images/ec-all/2076.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F2076_400x600.webp?alt=media
7-pecados-capitales,7 Pecados Capitales,images/ec-all/7-pecados-capitales.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F7pecadoscapitales_400x600.webp?alt=media
9-1,9:1,images/ec-all/9-1.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F91_400x600.webp?alt=media
a-bordo,A Bordo,images/ec-all/a-bordo.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fabordo_400x600.webp?alt=media
a-traves-de-los-espejos,A Través de los Espejos,images/ec-all/a-traves-de-los-espejos.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fatravesdelossespejos_400x600.webp?alt=media
a-traves-del-espejo,A Través del Espejo,images/ec-all/a-traves-del-espejo.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fatravesdelespejo_400x600.webp?alt=media
abduction-6-tortugas,Abduction 6 - Tortugas,images/ec-all/abduction-6-tortugas.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fabductijon%206%20tortugas_400x600.webp?alt=media
abduction-radio-dale-al-play,Abduction radio: Dale al play,images/ec-all/abduction-radio-dale-al-play.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fradio_400x600.webp?alt=media
abduction3-the-exam,The Exam,images/ec-all/abduction3-the-exam.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fabduction3_400x600.webp?alt=media
academia-de-cocina-megachef,Academia de Cocina: Megachef,images/ec-all/academia-de-cocina-megachef.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Facademia%20de%20cocina_400x600.webp?alt=media
academia-de-magia,Academia de Magia,images/ec-all/academia-de-magia.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Facademiademagia_400x600.webp?alt=media
achijira,Achijira,images/ec-all/achijira.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2FAchihira_400x600.webp?alt=media
acto-1-vientos-de-polvora,Acto 1: Vientos de pólvora,images/ec-all/acto-1-vientos-de-polvora.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Facto1vientos_400x600.webp?alt=media
aegis,Aegis,images/ec-all/aegis.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fatropos_400x600.webp?alt=media
after-party,After-Party,images/ec-all/after-party.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fafterparty_400x600.webp?alt=media
agente-doble,Agente Doble,images/ec-all/agente-doble.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fagentedoble_400x600.webp?alt=media
agente-k-42,Agente K-42,images/ec-all/agente-k-42.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fagentek42_400x600.webp?alt=media
agtc-international,Agtc.international,images/ec-all/agtc-international.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fagtc_400x600.webp?alt=media
aislamiento,Aislamiento,images/ec-all/aislamiento.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Faislamiento_400x600.webp?alt=media
akelarre,Akelarre,images/ec-all/akelarre.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fakelarre_400x600.webp?alt=media
ala-este-la-reliquia-maldita,Ala Este: La reliquia maldita,images/ec-all/ala-este-la-reliquia-maldita.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fed36a4f1-a208-4bd6-ba78-b3ae45cf741f_400x600.webp?alt=media
ala-oeste-los-ecos-del-orfanato,Ala Oeste: Los ecos del orfanato,images/ec-all/ala-oeste-los-ecos-del-orfanato.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F573fdb00-0eae-4bbc-b142-d79fd67b2b28_400x600.webp?alt=media
alice,Alice,images/ec-all/alice.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Falice_400x600.webp?alt=media
alicia-en-el-pais-de-las-maravillas,Alicia en el País de las Maravillas,images/ec-all/alicia-en-el-pais-de-las-maravillas.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Faliciaenelpaisdelasmaravillas_400x600.webp?alt=media
alicia-y-la-llave-del-tiempo,Alicia y la Llave del Tiempo,images/ec-all/alicia-y-la-llave-del-tiempo.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Faliciaylallavedeltiempo_400x600.webp?alt=media
alien-4-5,Alien 4.5,images/ec-all/alien-4-5.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fviruel_400x600.webp?alt=media
alien-attack,Alien Attack,images/ec-all/alien-attack.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Falienattack_400x600.webp?alt=media
alien-el-origen,Alien: El Origen,images/ec-all/alien-el-origen.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F38055ac219cefd1b31686f7e38bb0f08_400x600.webp?alt=media
alien-invaders,Alien Invaders,images/ec-all/alien-invaders.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Falien_invaders_400x600.webp?alt=media
aliens,Aliens,images/ec-all/aliens.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fc3f50b69bb099fd1c94df0482e9069d9_400x600.webp?alt=media
alkatraz-classic,Alkatraz Classic,images/ec-all/alkatraz-classic.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Falkatraz_400x600.webp?alt=media
alkatraz-classic-mostoles,Alkatraz Classic,images/ec-all/alkatraz-classic-mostoles.webp,https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Falkatraz_400x600.webp?alt=media
