nombre,imagen
"Cybercity 2049","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F289441dee3ba277d3de3963f69eafa9d_400x600.webp?alt=media&token=734f8d58-03a6-4cb0-adef-1fec13a7e821"
"Exodus","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Ff22b43f6-29ff-41d1-bbfd-6d9fdedd9963_400x600.webp?alt=media&token=aabdb2f5-859b-4f56-9ef5-eb87467bdc04"
"La Mina","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Flamina_400x600.webp?alt=media&token=ab8f069f-5e93-4c30-967d-771e8dc4c10e"
"Distrito 111","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F10d02f27709ea59cc53bf8a3b7e68d8b_400x600.webp?alt=media&token=949a8ccc-e3b8-4c51-9c52-d398b6eeb2d9"
"Room Angie","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Froomagnie_400x600.webp?alt=media&token=ff1c40cd-6c5d-4c05-a711-43d7399103f5"
"Enterprise","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fenterprises_400x600.webp?alt=media&token=fb5b12c0-2194-4e04-a7fd-ad94e0e7fdcd"
"Awaken","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fawaken_400x600.webp?alt=media&token=cab6a382-63e7-4386-8c6d-b7e214b52836"
"The Exam","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Ftheexam_400x600.webp?alt=media&token=b3adc6b8-9790-410b-b9ec-65aed41d6320"
"Tomb Hunter : La Leyenda de Akasha Escape Room","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F99b2f4c031423cc3bac37c6601ffb59c_400x600.webp?alt=media&token=47409558-9460-49bf-a322-8c901229e26c"
"Alien: El Origen","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F38055ac219cefd1b31686f7e38bb0f08_400x600.webp?alt=media&token=a94210a1-0d92-4ef4-99ce-30fdd2e13252"
"Outline","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F1477b7cae590ccf5cab9b29f89f3916a_400x600.webp?alt=media&token=78d67ff6-3043-4cd5-9d3a-0b2ae4a53ac4"
"Ouija","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F8ab93b76eecc4a97f4b4faa0ec016808_400x600.webp?alt=media&token=3b61d9e2-8ed0-4511-82da-9e073e1b3c54"
"Poison","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fpoison_400x600.webp?alt=media&token=43217e21-05fb-422c-8813-75f28998bf18"
"Achijira","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2FAchihira_400x600.webp?alt=media&token=361b365e-3264-440b-8ab3-ca0121d8e7f1"
"Londium","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2FLondium_400x600.webp?alt=media&token=2d7879b1-ba47-40cd-9010-2c1f452093a8"
"La Taberna","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Flataberna_400x600.webp?alt=media&token=96ab87f5-efd1-4bdb-b706-de0d15062ca5"
"K.O.N.G. Protocol","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2FKongProtocol_400x600.webp?alt=media&token=feaf34f8-d85d-4d79-aa85-45b0cda817d1"
"Jurásico","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fcb6722b5aa82511d7700ec5d3af31ccf_400x600.webp?alt=media&token=01b4436e-ee41-4418-9173-958e2c9e4422"
"WHITECHAPEL","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fjackeldestripador_400x600.webp?alt=media&token=9212c1b6-fe43-4fb7-bbe4-3312e2c2ec7b"
"Catacumbas","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fcatacumbas_400x600.webp?alt=media&token=275123c1-9ac2-4451-951b-1d91004ae1bc"
"Exorcista","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Fda763aec-2ec9-484e-9d75-44b49b0511d9_400x600.webp?alt=media&token=1c8017bf-f852-4bed-9526-f30e088ba24d"
"Roomions","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Froomions_400x600.webp?alt=media&token=4452c7b9-bdea-4ffa-b314-3ea5e41c0312"
"Tao Room Escape","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2Ftao2_400x600.webp?alt=media&token=1c940726-f0dd-4354-84bd-eda241cfb8c6"
"El secreto de los Krugger","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2FEl_Secreto_de_los_krueguer_400x600.webp?alt=media&token=bdcd0521-709a-41e4-9195-1e5ae7b6626e"
"Willy el Tuerto","https://firebasestorage.googleapis.com/v0/b/room-escapes.appspot.com/o/rooms%2F75cc177827a448bff12e85608be2e16e_400x600.webp?alt=media&token=c3e77689-432e-41c3-b0c6-bacf93fb84c2"
